LeftTorque:-0.019351 ,RightTorque:-0.0228462
LeftTorque:-0.0170856 ,RightTorque:-0.0209238
LeftTorque:-0.015044 ,RightTorque:-0.0191921
LeftTorque:-0.0132047 ,RightTorque:-0.0176324
LeftTorque:-0.0115484 ,RightTorque:-0.0162283
LeftTorque:-0.0100573 ,RightTorque:-0.0149645
LeftTorque:-0.00871551 ,RightTorque:-0.0138276
LeftTorque:-0.00750854 ,RightTorque:-0.012805
LeftTorque:-0.00642325 ,RightTorque:-0.0118855
LeftTorque:-0.00544769 ,RightTorque:-0.0110591
LeftTorque:-0.00457103 ,RightTorque:-0.0103164
LeftTorque:-0.00378343 ,RightTorque:-0.00964908
LeftTorque:-0.00307599 ,RightTorque:-0.00904961
LeftTorque:-0.00244062 ,RightTorque:-0.00851113
LeftTorque:-0.00187003 ,RightTorque:-0.00802745
LeftTorque:-0.00135761 ,RightTorque:-0.00759298
LeftTorque:-0.000897419 ,RightTorque:-0.0072027
LeftTorque:-0.000484085 ,RightTorque:-0.00685207
LeftTorque:-0.00011278 ,RightTorque:-0.00653701
LeftTorque:0.000220832 ,RightTorque:-0.00625388
LeftTorque:0.000520646 ,RightTorque:-0.00599937
LeftTorque:0.000790151 ,RightTorque:-0.00577055
LeftTorque:0.00103248 ,RightTorque:-0.00556478
LeftTorque:0.00125042 ,RightTorque:-0.00537969
LeftTorque:0.00144648 ,RightTorque:-0.00521317
LeftTorque:0.00162291 ,RightTorque:-0.00506332
LeftTorque:0.00178169 ,RightTorque:-0.00492845
LeftTorque:0.00192463 ,RightTorque:-0.00480705
LeftTorque:0.00205332 ,RightTorque:-0.00469776
LeftTorque:0.0021692 ,RightTorque:-0.00459935
LeftTorque:0.00227354 ,RightTorque:-0.00451075
LeftTorque:0.00236751 ,RightTorque:-0.00443097
LeftTorque:0.00245213 ,RightTorque:-0.00435914
LeftTorque:0.00252833 ,RightTorque:-0.00429447
LeftTorque:0.00259694 ,RightTorque:-0.00423625
LeftTorque:0.0026587 ,RightTorque:-0.00418384
LeftTorque:0.00271431 ,RightTorque:-0.00413667
LeftTorque:0.00276435 ,RightTorque:-0.00409422
LeftTorque:0.00280939 ,RightTorque:-0.00405603
LeftTorque:0.0028499 ,RightTorque:-0.00402166
LeftTorque:0.00288636 ,RightTorque:-0.00399075
LeftTorque:0.00291914 ,RightTorque:-0.00396295
LeftTorque:0.00294862 ,RightTorque:-0.00393795
LeftTorque:0.00297514 ,RightTorque:-0.00391547
LeftTorque:0.00299897 ,RightTorque:-0.00389525
LeftTorque:0.0030204 ,RightTorque:-0.00387708
LeftTorque:0.00303966 ,RightTorque:-0.00386074
LeftTorque:0.00305697 ,RightTorque:-0.00384606
LeftTorque:0.00307254 ,RightTorque:-0.00383285
LeftTorque:0.00308653 ,RightTorque:-0.00382099
LeftTorque:0.0030991 ,RightTorque:-0.00381031
LeftTorque:0.00311041 ,RightTorque:-0.00380072
LeftTorque:0.00312057 ,RightTorque:-0.0037921
LeftTorque:0.00312971 ,RightTorque:-0.00378434
LeftTorque:0.00313793 ,RightTorque:-0.00377736
LeftTorque:0.00314532 ,RightTorque:-0.00377109
LeftTorque:0.00315197 ,RightTorque:-0.00376545
LeftTorque:0.00315795 ,RightTorque:-0.00376037
LeftTorque:0.00316333 ,RightTorque:-0.00375581
LeftTorque:0.00316817 ,RightTorque:-0.0037517
LeftTorque:0.00317252 ,RightTorque:-0.003748
LeftTorque:0.00317644 ,RightTorque:-0.00374467
LeftTorque:0.00317997 ,RightTorque:-0.00374168
LeftTorque:0.00318314 ,RightTorque:-0.00373899
LeftTorque:0.003186 ,RightTorque:-0.00373656
LeftTorque:0.00318857 ,RightTorque:-0.00373438
LeftTorque:0.00319088 ,RightTorque:-0.00373242
LeftTorque:0.00319296 ,RightTorque:-0.00373065
LeftTorque:0.00319483 ,RightTorque:-0.00372906
LeftTorque:0.00319652 ,RightTorque:-0.00372763
LeftTorque:0.00319804 ,RightTorque:-0.00372634
LeftTorque:0.0031994 ,RightTorque:-0.00372519
LeftTorque:0.00320063 ,RightTorque:-0.00372414
LeftTorque:0.00320173 ,RightTorque:-0.00372321
LeftTorque:0.00320273 ,RightTorque:-0.00372236
LeftTorque:0.00320362 ,RightTorque:-0.00372161
LeftTorque:0.00320443 ,RightTorque:-0.00372092
LeftTorque:0.00320515 ,RightTorque:-0.00372031
LeftTorque:0.0032058 ,RightTorque:-0.00371976
LeftTorque:0.00320638 ,RightTorque:-0.00371926
LeftTorque:0.00320691 ,RightTorque:-0.00371882
LeftTorque:0.00320738 ,RightTorque:-0.00371842
LeftTorque:0.00320781 ,RightTorque:-0.00371806
LeftTorque:0.00320819 ,RightTorque:-0.00371773
LeftTorque:0.00320853 ,RightTorque:-0.00371744
LeftTorque:0.00320884 ,RightTorque:-0.00371718
LeftTorque:0.00320912 ,RightTorque:-0.00371694
LeftTorque:0.00320937 ,RightTorque:-0.00371673
LeftTorque:0.00320959 ,RightTorque:-0.00371654
LeftTorque:0.0032098 ,RightTorque:-0.00371637
LeftTorque:0.00320998 ,RightTorque:-0.00371621
LeftTorque:0.00321014 ,RightTorque:-0.00371607
LeftTorque:0.00321029 ,RightTorque:-0.00371595
LeftTorque:0.00321042 ,RightTorque:-0.00371584
LeftTorque:0.00321054 ,RightTorque:-0.00371573
LeftTorque:0.00321065 ,RightTorque:-0.00371564
LeftTorque:0.00321074 ,RightTorque:-0.00371556
LeftTorque:0.00321083 ,RightTorque:-0.00371549
LeftTorque:0.00321091 ,RightTorque:-0.00371542
LeftTorque:0.00321098 ,RightTorque:-0.00371536
LeftTorque:0.00321104 ,RightTorque:-0.00371531
LeftTorque:0.0032111 ,RightTorque:-0.00371526
LeftTorque:0.00321115 ,RightTorque:-0.00371522
LeftTorque:0.0032112 ,RightTorque:-0.00371518
LeftTorque:0.00321124 ,RightTorque:-0.00371514
LeftTorque:0.00321128 ,RightTorque:-0.00371511
LeftTorque:0.00321131 ,RightTorque:-0.00371508
LeftTorque:0.00321134 ,RightTorque:-0.00371506
LeftTorque:0.00321137 ,RightTorque:-0.00371503
LeftTorque:0.00321139 ,RightTorque:-0.00371501
LeftTorque:0.00321141 ,RightTorque:-0.00371499
LeftTorque:0.00321143 ,RightTorque:-0.00371498
LeftTorque:0.00321145 ,RightTorque:-0.00371496
LeftTorque:0.00321147 ,RightTorque:-0.00371495
LeftTorque:0.00321148 ,RightTorque:-0.00371494
LeftTorque:0.00321149 ,RightTorque:-0.00371493
LeftTorque:0.00321151 ,RightTorque:-0.00371492
LeftTorque:0.00321152 ,RightTorque:-0.00371491
LeftTorque:0.00321152 ,RightTorque:-0.0037149
LeftTorque:0.00321153 ,RightTorque:-0.00371489
LeftTorque:0.00321154 ,RightTorque:-0.00371489
LeftTorque:0.00321155 ,RightTorque:-0.00371488
LeftTorque:0.00321155 ,RightTorque:-0.00371488
LeftTorque:0.00321156 ,RightTorque:-0.00371487
LeftTorque:0.00321156 ,RightTorque:-0.00371487
LeftTorque:0.00321157 ,RightTorque:-0.00371486
LeftTorque:0.00321157 ,RightTorque:-0.00371486
LeftTorque:0.00321158 ,RightTorque:-0.00371486
LeftTorque:0.00321158 ,RightTorque:-0.00371485
LeftTorque:0.00321158 ,RightTorque:-0.00371485
LeftTorque:0.00321159 ,RightTorque:-0.00371485
